Price,Close,High,Low,Open,Volume,Daily_Return,Volatility_20D,20MA,50MA,200MA
Ticker,QQQ,QQQ,QQQ,QQQ,QQQ,,,,,
Date,,,,,,,,,,
2020-01-02,208.31756591796875,208.31756591796875,206.21665021239065,206.62141055085482,30969400,,,,,
2020-01-03,206.40936279296875,207.65256874525338,205.54202143036022,205.56129993102786,27518900,-0.009160068266885424,,,,
2020-01-06,207.7393341064453,207.76824450960788,204.53979361320714,204.79035534234592,21655300,0.006443367178118553,,,,
2020-01-07,207.71038818359375,208.2982574560197,207.05506621705322,207.81639787879146,22139300,-0.00013933770884588803,,,,
2020-01-08,209.27163696289062,210.22572434939758,207.3538449960792,207.68150602390165,26397300,0.007516469411808613,,,,
2020-01-09,211.04486083984375,211.4496211160876,209.81130151076144,210.99667194156035,23547000,0.00847331202014523,,,,
2020-01-10,210.50515747070312,211.89291533752848,210.12930760720346,211.87365154312397,21898500,-0.0025572921652434744,,,,
2020-01-13,212.93377685546875,212.96268725811626,211.03524865393877,211.37255629174567,22756900,0.011537101579583098,,,,
2020-01-14,212.09535217285156,213.1843597227567,211.76769112949265,212.82777357068733,24418100,-0.003937490308013825,,,,
2020-01-15,212.18203735351562,213.17466687288888,211.4881584091711,212.21094775076443,25742100,0.00040870853498664594,,,,
2020-01-16,214.21548461914062,214.25404161880957,212.78918444031157,213.24213360270775,18805000,0.0095835033492353,,,,
2020-01-17,215.275634765625,215.4490971914688,214.06133896395687,215.1792569478071,24325200,0.004948989324321085,,,,
2020-01-21,215.17919921875,215.71887956128603,214.58169808311172,214.67806116988663,21146300,-0.0004479631286652408,,,,
2020-01-22,215.74783325195312,216.98139276962715,215.47799302653627,216.26824990467804,20736400,0.0026426068842511086,,,,
2020-01-23,216.4416961669922,216.53807397110154,214.62026742875648,215.62254365281586,26496100,0.003216082889827998,,,,
2020-01-24,214.62030029296875,217.68493552962806,213.62767052043463,217.45363758746058,37436500,-0.00841518019068821,,,,
2020-01-27,210.18719482421875,211.32437659173263,209.30056008710497,209.7727878595688,42264400,-0.02065557387953776,,,,
2020-01-28,213.41561889648438,213.90712511131423,211.11233054275615,211.67128945646775,26731900,0.015359756216193787,,,,
2020-01-29,213.76258850097656,214.84194947655752,212.81814764734324,214.6010196369946,28924500,0.0016257929306500163,,,,
2020-01-30,214.52392578125,214.62028888980691,211.71949904038453,212.38446772174333,39568100,0.003561602082068571,,212.07894744873047,,
2020-01-31,211.12197875976562,215.4490686908412,210.37026423164505,215.4201582903583,52015800,-0.01585812402553799,0.008982757577166562,212.21916809082032,,
2020-02-03,214.3118896484375,214.8033811677759,212.00860124926652,212.15315325342823,25408600,0.015109326406520962,0.009215865423843346,212.61429443359376,,
2020-02-04,219.2172088623047,219.5930587642607,216.49951364417046,217.2415815498947,30691200,0.022888693772025404,0.01030939381322664,213.1881881713867,,
2020-02-05,219.9399871826172,221.8963358948736,218.61969664321316,221.85779359887678,38534800,0.003297087505417906,0.010287439373405372,213.7996681213379,,
2020-02-06,221.8385772705078,221.89639808330148,219.7087508663947,220.4893612494923,22467100,0.008632309714168507,0.010316692942431977,214.42801513671876,,
2020-02-07,220.88442993164062,222.07944699148595,220.24837175276227,220.84588763527864,25884900,-0.004301088433792621,0.010353460789386747,214.91999359130858,,
2020-02-10,223.55392456054688,223.56355645784163,220.0941764626458,220.15199725678772,21478900,0.012085481216274063,0.01050612658022027,215.5724319458008,,
2020-02-11,223.59249877929688,225.5295838907473,223.0046294462739,224.78751594787164,30198000,0.00017254995109494686,0.010329585623277146,216.1053680419922,,
2020-02-12,225.77049255371094,225.8765022499049,224.3538242069314,224.9127830863916,24471300,0.009740907169537572,0.010334037792804939,216.78912506103515,,
2020-02-13,225.48138427734375,226.40654648213962,223.92979576422067,224.1996359660518,22773200,-0.001280540575063882,0.010364736082531944,217.45409240722657,,
2020-02-14,226.12709045410156,226.33910987135076,225.07663997194174,225.83797173010817,23438500,0.0028636784310476227,0.01025164053094316,218.0496726989746,,
2020-02-18,226.21383666992188,226.63787553255693,224.78753616348675,225.02846599860302,24394500,0.0003836170873914302,0.010251145550141165,218.59658279418946,,
2020-02-19,228.38217163085938,228.85439933217356,227.2931789356636,227.5630191349323,22230500,0.009585333032043453,0.010342779665315164,219.25673141479493,,
2020-02-20,226.26199340820312,228.3532623150544,223.4672136002903,227.8810493166871,42604000,-0.009283466426106002,0.01070394254452833,219.7824394226074,,
2020-02-21,221.9156494140625,225.51995021861518,221.00011901149605,225.13446837706815,66017200,-0.019209341916736844,0.011742184717602279,220.05613708496094,,
2020-02-24,213.3578338623047,216.11407188909791,212.2688262525871,213.63730601341578,84522600,-0.03856337114734154,0.01463569904974465,219.99301376342774,,
2020-02-25,207.5561981201172,215.8634675724852,206.94906502738402,215.15031007500946,97743000,-0.027192044637703416,0.01517958257897925,219.86146392822266,,
2020-02-26,208.6259307861328,212.2880667308365,207.10325266735435,208.84759679251124,79537700,0.005153942285050617,0.014784081734497547,219.6219795227051,,
2020-02-27,198.17919921875,208.56809015437068,198.04427913017778,203.24835649531946,121822600,-0.05007398422630405,0.01837832248099122,218.84281005859376,,
2020-02-28,198.33343505859375,199.6537257951151,190.98025208735027,191.4332013351709,148173700,0.000778264522471428,0.018331602439942724,218.03328552246094,,
2020-03-02,208.56814575195312,208.71271248158027,198.46837080105,201.30170812153014,112933900,0.051603556860373656,0.021855070965091778,217.9055938720703,,
2020-03-03,201.87989807128906,211.64237847473407,200.0873797340312,209.23308042493528,131953500,-0.032067445661708494,0.02262751948041101,217.28399429321288,,
